name,resistances,immunities
Ancient Titan,"bludgeoning, piercing, and slashing from nonmagical attacks",
Ancient Void Dragon,,cold
Ancient Wasteland Dragon,,force
Ancient White Dragon,,cold
Ancient White Dragon,,cold
Ancient Wind Dragon,"bludgeoning, piercing, and slashing from nonmagical attacks","lightning, ranged weapons"
Ancient Black Dragon,,"acid,poisoned"
Ancient Blue Dragon,,lightning
Ancient Brass Dragon,,fire
Ancient Bronze Dragon,,lightning
Ancient Copper Dragon,,acid
Ancient Gold Dragon,,fire
Ancient Green Dragon,,"poison,poisoned"
Ancient Red Dragon,,fire
Ancient Silver Dragon,,cold
Ancient White Dragon,,cold
Ancient Cave Dragon,False,poison
Ancient Flame Dragon,False,fire
Ancient Mithral Dragon,False,slashing
Ancient Sea Dragon,False,cold
Ancient Titan,"bludgeoning, piercing, and slashing from nonmagical attacks",False
Ancient Void Dragon,False,cold
Ancient Wind Dragon,cold,lightning
Andrenjinyi,"acid, cold, fire, lightning",psychic
Androsphinx,,"psychic; bludgeoning, piercing, and slashing from nonmagical attacks"
Androsphinx,Monstrosity Resilience,"psychic; bludgeoning,piercing,and slashing damage from nonmagical attacks,charmed,frightened"
Angatra,"necrotic; bludgeoning, piercing, and slashing from nonmagical attacks",poison
Angatra,"necrotic; bludgeoning, piercing, and slashing from nonmagical attacks",poison
"Angel, Chained",piercing,"fire, radiant"
"Angel, Haladron",radiant,
"Angel, Kalkydra",poison; nonmagic B/P/S attacks,"fire, radiant"
Angel of Judgment,"necrotic, poison, radiant; bludgeoning, piercing, and slashing from nonmagical attacks",
"Angel, Pelagic Deva","cold, radiant; nonmagic B/P/S attacks",
"Angel, Psychopomp","necrotic, radiant; nonmagic B/P/S weapons",
"Angel, Shrouded","poison, radiant; nonmagic B/P/S attacks",
"Angel, Zirnitran",radiant; nonmagic B/P/S attacks,"necrotic, poison"
Angelic Enforcer,"bludgeoning, piercing, and slashing from nonmagical attacks",radiant
Angler Worm,,poison
Angler Worm,False,poison
"Animal Lord, Mammoth Queen",nonmagic B/P/S attacks,"cold, poison"
Animated Armor,,"poison, psychic"
Animated Armor,piercing,"poison, psychic"
Animated Bearskin Rug,,"poison, psychic"
Animated Instrument,,"poison, psychic"
"Animated Instrument, Quartet",,"poison, psychic"
"Animated Instrument, Symphony","bludgeoning, piercing, slashing","poison, psychic"
Animated Offal,,necrotic
Animated Armor,slashing,"blinded,deafened,Construct Resilience"
Aniwye,,
Ankheg,,
Ankheg,acid,
Ankheg Queen,acid,
Ankheg Spawn,acid,
Ankheg,"acid,Monstrosity Resilience",
Ankou Soul Herald,,"cold, necrotic, poison"
Ankou Soul Seeker,,"cold, necrotic, poison"
Ankylosaurus,,
Annelidast,lightning,poison; bludgeoning from nonmagical attacks
Anophiloi,poison,
Anubian,"bludgeoning, piercing, and slashing from nonmagical attacks",poison
Anubian,"bludgeoning, piercing, and slashing from nonmagical attacks",poison
Anzu,"fire, lightning",
Apau Perape,"fire, lightning, poison; bludgeoning, piercing, and slashing from nonmagical attacks",poison
Apau Perape,"fire, lightning; bludgeoning, piercing, and slashing from nonmagical attacks",poison
Apaxrusl,,"fire, poison"
Ape,,
Ape,,
Ape,stunned,
"Ape, Giant",stunned,
Aphasian Abomination,,"poison, psychic; nonmagic bludgeoning, piercing, and slashing attacks"
Apprentice Mage,,
Arachnocrat,"cold; bludgeoning, piercing, and slashing from nonmagical attacks not made with silvered weapons","fire, poison"
Arbeyach,"acid, cold; bludgeoning, piercing, and slashing from nonmagical attacks not made with silvered weapons","fire, poison"
Arborcyte,"bludgeoning, piercing",
Arboreal Grappler,,
Arboreal Grappler,False,False
Arcamag,,
Arcanaphage,"bludgeoning, piercing, and slashing from magical weapons",
Arcane Blademaster,,
Arcane Leviathan,"acid, thunder; nonmagic B/P/S attacks","lightning, poison, psychic"
Arcane Scavenger,nonmagic B/P/S attacks,"force, poison, psychic"
Archaeopteryx,,
Archdruid,Nature's Champion,
Archfey,,
Archmage,"damage from spells; non magical bludgeoning, piercing, and slashing (from stoneskin)",
Archmage,,psychic (with mind blank)
Archmage,Magic Ward,
"Archon, Siege",radiant; nonmagic B/P/S attacks,
"Archon, Ursan",radiant; nonmagic B/P/S attacks,cold
"Archon, Word",radiant,"necrotic, poison"
Archpriest,radiant,
Aridni,,
Aridni,False,False
Armory Golem,,"poison, psychic; bludgeoning, piercing, and slashing from nonmagical attacks not made with adamantine"
Arx,"cold, fire, lightning, poison",False
Asanbosam,,
Asanbosam,False,False
Ascetic Grandmaster,damage from nonmagical weapons,
Ash Drake,fire,
Ash Phoenix,"bludgeoning, piercing, and slashing from nonmagical attacks","necrotic, poison"
Ash Drake,False,fire
Ashen Custodian,"bludgeoning, piercing, and slashing from nonmagical attacks",fire
Ashwalker,False,poison
Asp Vine,"bludgeoning, piercing",
Assassin,poison,
Assassin,,
Assassin,"poison,poisoned",
Astral Devourer,"bludgeoning, piercing, slashing","poison, psychic"
Astral Snapper,bludgeoning and slashing from nonmagical attacks,
Astralsupial,,
Astri,"poison; bludgeoning, piercing, and slashing from nonmagical attacks",
Attercroppe,,poison
August Rooster,psychic,
Aural Hunter,,
Aurora Horribilis,,"cold, psychic, radiant"
Automata Devil,"cold; bludgeoning, piercing, and slashing from nonmagical attacks not made with silvered weapons","fire, poison"
Automata Devil,"cold; bludgeoning, piercing, and slashing from nonmagical attacks not made with silvered weapons","fire, poison"
Avalanche Screamer,cold,"bludgeoning, thunder"
Avatar of Shoth,,"acid, cold, fire"
Avestruzii,,
Avestruzii Champion,,
Aviere,radiant,"fire, poison"
Avulzor,"bludgeoning, piercing, and slashing from nonmagical attacks",necrotic
Awakened Shrub,piercing,
Awakened Shrub,"bludgeoning, piercing",
Awakened Tree,"bludgeoning, piercing",
Awakened Tree,"bludgeoning, piercing",
Awakened Shrub,"piercing,Plant Resilience",
Awakened Tree,"bludgeoning,piercing,Plant Resilience",
Axe Beak,,
Axe Beak,,
Axe Beak,,
Azeban,"cold; bludgeoning, piercing, and slashing from nonmagical attacks not made with cold iron",
Azer,,"fire, poison"
Azer,,"fire, poison"
Azer Forgemaster,,"fire, poison"
Azer,,"fire,poison,poisoned"
Azi Dahaka,"cold; bludgeoning, piercing, and slashing from nonmagical attacks not made with silver",lightning
Aziza,,
Azza Gremlin,,"lightning, thunder"
Azza Gremlin,False,"lightning, thunder"
"Baba Yaga's Horsemen, Black Night","bludgeoning, piercing, and slashing from nonmagical attacks","cold, lightning, poison"
"Baba Yaga's Horsemen, Bright Day","cold, fire; bludgeoning, piercing, and slashing from nonmagical attacks","lightning, poison"
"Baba Yaga's Horsemen, Red Sun","bludgeoning, piercing, and slashing from nonmagical attacks","fire, lightning, poison"
Baba Yaga’s Horsemen,"bludgeoning, piercing, and slashing from nonmagical attacks","lightning, poison"
Baboon,,
Baboon,,
Baboon,,
Backup Holler Spider,thunder,
Badger,,
Badger,,
Badger,,
"Badger, Giant",frightened,
Bagiennik,,
Bagiennik,False,False
Balara,necrotic,"charmed,frightened,Undead Resilience"
Baleful Miasma,lightning; nonmagic B/P/S attacks,poison
Baliri Demon,"cold, fire, lightning; bludgeoning, piercing, and slashing from nonmagical attacks",poison
Balloon Spider,,lightning
Balor,"cold, lightning; bludgeoning, piercing, and slashing from nonmagical attacks","fire, poison"
Balor,"cold, lightning; damage from nonmagical weapons","fire, poison"
Balor General,"cold, lightning; damage from nonmagical weapons","fire, poison"
Balor,"bludgeoning,piercing,and slashing damage from nonmagical attacks,Demonic Resilience","fire,Demonic Resilience"
Bandit,,
Bandit,,
Bandit Captain,,
Bandit Captain,,
Bandit Lord,,
Bandit,,
Bandit Captain,,
Bandit Lord,False,False
Bannik,fire; nonmagic B/P/S attacks,
Banshee,"acid, fire, lightning, thunder; damage from nonmagical weapons","cold, necrotic, poison"
Bar Brawl,"piercing, slashing",
Barbed Devil,"cold; bludgeoning, piercing, and slashing from nonmagical attacks not made with silvered weapons","fire, poison"
Barbed Devil,"cold; damage from nonmagical, non-silvered weapons","fire, poison"
Barbed Devil,Devilish Resilience,Devilish Resilience
Bard,Artistic Expression,
Barometz,"bludgeoning, piercing, and slashing from nonmagical attacks",poison
Barong,"bludgeoning, piercing, and slashing from nonmagical attacks",radiant
Basilisk,,
Basilisk,,
Basilisk,"poison,petrified,Monstrosity Resilience",
Bastet Temple Cat,,
Bastet Temple Cat,False,False
Bat,,
Bat,,
Bat,blinded,
"Bat, Giant",blinded,
"Bat, Swarm of Bats","blinded,Swarm Resilience",Swarm Resilience
Bathhouse Drake,fire,poison
Beach Weird,"acid, fire; nonmagic B/P/S attacks",poison
"Bear, Black",,
"Bear, Brown",,
"Bear, Polar",cold,
Bearded Devil,"cold; bludgeoning, piercing, and slashing from nonmagical attacks not made with silvered weapons","fire, poison"
Bearded Devil,"cold; damage from nonmagical, non-silvered weapons","fire, poison"
Bearded Devil,Devilish Resilience,Devilish Resilience
Bearfolk,,
Bearfolk Chieftain,,
Bearfolk Thunderstomper,,
Bearfolk,False,False
Bearing Golem,"bludgeoning, piercing, and slashing from nonmagical attacks not made with adamantine weapons","poison, psychic"
Bear King,cold,"poison; bludgeoning, slashing, and piercing from nonmagical attacks not made with cold iron weapons"
Bearmit Crab,bludgeoning,
"Beetle, Clacker Soldier",slashing from nonmagical attacks,thunder
"Beetle, Clacker Swarm",,
Befouled Weird,"acid; bludgeoning, piercing, and slashing from nonmagical attacks",poison
Beggar Ghoul,,poison
Beggar Ghoul,False,poison
Beheaded Vengeful Spirit,"acid, fire, lightning, thunder; bludgeoning, piercing, and slashing from nonmagical attacks","cold, necrotic, poison"
Behir,,lightning
Behir,,lightning
Behir Magus,,lightning
Behir,Monstrosity Resilience,lightning
Behtu,"cold, fire, lightning",
Behtu,"cold, fire, lightning",False
Beli,,cold
Beli,False,cold
Belu,poison,
Berberoka,acid,poison
Bereginyas,,bludgeoning
Bereginyas,False,bludgeoning
Berserker,,
Berserker,,
Berserker,,
Berstuc,"acid, fire; bludgeoning, piercing, and slashing from nonmagical attacks","lightning, poison"
Berstuc,"acid, cold, fire; bludgeoning, piercing, and slashing from nonmagical attacks","lightning, poison"
Bilwis,"lightning, thunder",poison
Birgemon Seal,"acid, cold",
Black Bear,,
Black Bear,,
Black Crier,"necrotic, psychic; bludgeoning, piercing, and slashing from nonmagical attacks",poison
Black Dragon Wyrmling,,acid
Black Dragon Wyrmling,,acid
Black Knight Commander,,
Black Patch,cold,"acid, poison"
Black Pudding,,"acid, cold, lightning, slashing"
Black Pudding,,"acid, cold, lightning, slashing"
Black Shuck,"cold, fire, lightning","necrotic, poison; bludgeoning, piercing or slashing from nonmagical attacks not made with silvered weapons"
Black Sun Orc,,
Black Sun Priestess,,
Black Dragon Wyrmling,,"acid,poisoned"
Black Pudding,Ooze Resilience,"acid,lightning,slashing,grappled,Ooze Resilience"
Blackguard,,
Black Knight Commander,False,False
Blaspheming Hand,"cold, fire, psychic; nonmagic B/P/S attacks not made w/silvered weapons",poison
Bleakheart,"cold; bludgeoning, piercing, and slashing from nonmagical attacks","necrotic, poison"
Blemmyes,,
Blemmyes,False,False
Blestsessebe,"poison, radiant",
Blink Dog,,
Blink Dog,,
Blink Dog,Fey Resilience,
Bloatblossom,Plant Resilience,
Bloated Ghoul,"necrotic, slashing",poison
Blood Barnacle,necrotic,
Blood Elemental,"acid, fire; bludgeoning, piercing, and slashing from nonmagical attacks","necrotic, psychic"
Blood Flurry,cold; B/P/S,poison
Blood Giant,necrotic,"cold, poison"
Blood Hag,,
Blood Hawk,,
Blood Hawk,,
Blood Imp,cold,"fire, poison"
Blood Ooze,,"acid, fire, necrotic, slashing"
Blood Zombie,,poison
Blood Hag,False,False
Bloodsapper,,
Bloodstone Sentinel,,"poison; bludgeoning, piercing, and slashing from nonmagical attacks not made with adamantine weapons"
Bloody Bones,,
Blue Dragon Wyrmling,,lightning
Blue Dragon Wyrmling,,lightning
Blue Dragon Wyrmling,,lightning
Boar,,
Boar,,
Boar,,
"Boar, Giant",,
Boggard,,
Boggard Bravo,,
Boggard Sovereign,,
Boloti,,
Boloti,False,False
Bolt-Thrower,,"poison, psychic"
Bone Collective,"bludgeoning, piercing, and slashing from nonmagical attacks not made with silvered weapons","necrotic, poison"
Bone Collector,,"necrotic, poison"
Bone Colossus,"bludgeoning, piercing, and slashing from nonmagical attacks","necrotic, poison"
Bone Crab,bludgeoning,
Bone Devil,"cold; bludgeoning, piercing, and slashing from nonmagical attacks not made with silvered weapons","fire, poison"
Bone Devil,"cold; damage from nonmagical, non-silvered weapons",
Bone Golem,"bludgeoning, piercing, and slashing from nonmagical attacks not made with adamantine","necrotic, poison, psychic"
Bone Lord,"cold, lightning","necrotic, poison; nonmagic bludgeoning, piercing, and slashing attacks"
Bone Swarm,piercing and slashing from nonmagical attacks,poison
Bone Devil,Devilish Resilience,Devilish Resilience
Bone Collective,"bludgeoning, piercing, slashing","necrotic, poison"
Bone Crab,bludgeoning,False
Bonepowder Ghoul,"cold, lightning; bludgeoning, piercing, and slashing from nonmagical attacks","necrotic, poison"
Bonepowder Ghoul,"cold, lightning; bludgeoning, piercing, and slashing from nonmagical attacks","necrotic, poison"
Boneshard Wraith,"acid, cold, fire, lightning, thunder; piercing, bludgeoning, and slashing from nonmagical attacks not made with silvered weapons","necrotic, poison"
Bonespitter,,
Bone Swarm,piercing and slashing from nonmagical attacks,poison
Bookkeeper,"bludgeoning, piercing, and slashing from nonmagical attacks","either cold or fire (designated at the time of the bookkeeper's creation), poison, psychic"
Boomer,,thunder
Boot Grabber,acid,
Boreal Dragon Wyrmling,cold,fire
Boreas’ Chosen,"bludgeoning, piercing, and slashing from nonmagical attacks",cold
Bouda,"acid, lightning; bludgeoning, piercing, and slashing from nonmagical attacks not made with silvered weapons","fire, poison"
Bouda,"acid, lightning; bludgeoning, piercing, and slashing from nonmagical attacks not made with silvered weapons","fire, poison"
Brachyura Shambler,bludgeoning,
Brain Coral,,psychic
Brain Hood,bludgeoning,
Brass Dragon Wyrmling,,fire
Brass Dragon Wyrmling,,fire
Brass Dragon Wyrmling,,fire
Brimstone Locusthound,,
Bronze Dragon Wyrmling,,lightning
Bronze Dragon Wyrmling,,lightning
Bronze Golem,"fire; bludgeoning, piercing, and slashing from nonmagical attacks not made with adamantine","poison, psychic"
Bronze Dragon Wyrmling,,lightning
Broodiken,"bludgeoning, piercing, and slashing from nonmagical attacks",poison
Broodiken,"bludgeoning, piercing, and slashing from nonmagical attacks","poison, psychic"
Broodmother of Leng,"bludgeoning, piercing, and slashing from nonmagical attacks",poison
Brown Bear,,
Brown Bear,,
Brownie,,
Brownie Beastrider,,
Brownie Mystic,,
Brumalek,cold,thunder
Bucca,,
Bucca,False,False
Bugbear,,
Bugbear,,
Bugbear Chief,,
Bugbear,,
Bugbear Champion,"charmed,frightened",
Bukavac,,thunder
Bukavac,False,thunder
Bulbous Violet,,acid
Bulette,,
Bulette,,
Bulette,"bludgeoning,Monstrosity Resilience",
Bull,,
Bunyip,"cold, thunder",
Buraq,"radiant; bludgeoning, piercing, and slashing from nonmagical attacks",
Buraq,"radiant; bludgeoning, piercing, and slashing from nonmagical attacks",False
Burrowling,,
Burrowling,False,False
Butatsch,bludgeoning,"acid, fire"
Cackling Skeleton,,poison
Cactid,"bludgeoning, piercing",
Cactid,"bludgeoning, piercing",False
Cacus Giant,,fire
Cadaver Sprite,,poison
Caldera Kite,,"acid, fire, poison"
Caltrop Golem,"bludgeoning, piercing, and slashing from nonmagical attacks not made with adamantine weapons","poison, psychic"
Camazotz,"acid, lightning; bludgeoning, piercing, and slashing from nonmagical attacks","fire, poison, thunder"
Cambion,"cold, fire, poison; damage from nonmagical weapons",
Cambium,,poison
Cambium,False,poison
Camel,,
Camel,,
Camel,Camel Resilience,
Capybear,,
Carbuncle,,
Caretaker Weevil,,
Carnivorous Ship,,acid
Carnivorous Sod,,poison
Carrier Mosquito,,
Carrion Beetle,,
Carrion Beetle,False,False
Cat,,
Cat,,
Cat,,
Catamount,,
Catonoctrix,,psychic
Cats of Ulthar,"bludgeoning, piercing, slashing",
Catscratch,,poison
Catterball,,
Cauldronborn,piercing and slashing from nonmagical attacks not made with adamantine,poison
Caustic Charger,False,acid
Cave Bear,,
Cave Dragon Wyrmling,,"acid, poison, thunder"
Cave Drake,,poison
Cave Giant,,
Cave Giant Shaman,,
Cave Goat,,
Cave Mimic,,acid
Cave Ogre,,
Cave Sovereign,"poison, radiant; nonmagic B/P/S attacks not made w/adamantine weapons",psychic
Cave Troll,,
Cave Dragon Wyrmling,False,poison
Cavefish Zombie,,poison
Cavelight Moss,"acid, cold, fire; slashing from nonmagical attacks",
Cavelight Moss,"acid, cold, fire; slashing from nonmagical attacks",False
Centaur,,
Centaur,,
Centaur Chieftain,,
Centaur,Monstrosity Resilience,
Chain Devil,"cold; bludgeoning, piercing, and slashing from nonmagical attacks not made with silvered weapons","fire, poison"
Chain Devil,"cold; damage from nonmagical, non-silvered weapons","fire, poison"
Chain Devil,"grappled,Devilish Resilience",Devilish Resilience
Chained Angel,piercing,"fire, radiant"
Chameleon Hydra,,
Champion Warrior,,
Chamrosh,"fire, radiant",
Chaos Creeper,,poison 
Chaos Raptor,,
Chaos-Spawn Goblin,psychic,
Chatterlome,"cold, fire; bludgeoning, piercing, and slashing from nonmagical attacks",poison
Chelicerae,,poison
Chelicerae,False,poison
Chemosit,"fire, cold, lightning; nonmagic B/P/S attacks not made w/silvered weapons",
Chernomoi,"bludgeoning, piercing, and slashing from nonmagical attacks not made with silver weapons",
Chernomoi,"bludgeoning, piercing, and slashing from nonmagical attacks not made with silvered weapons",False
Cherufe,"acid, lightning; bludgeoning, piercing, and slashing from nonmagical attacks","fire, poison"
Chieftain,False,False
Child Of The Briar,,
Child of Yggdrasil,,"acid, cold; bludgeoning from nonmagical attacks"
Child of the Briar,False,False
Chill Haunt,"acid, lightning, thunder; bludgeoning, piercing, and slashing from nonmagical attacks","cold, fire, necrotic, poison"
Chimera,,
Chimera,,
"Chimera, Royal",force; nonmagic B/P/S attacks,"fire, poison"
Chimera,"Multiple Heads,Monstrosity Resilience",fire
Chimeric Phantom,"acid, cold, fire, lightning, thunder; bludgeoning, piercing, and slashing from nonmagical attacks",poison
Chort Devil,"bludgeoning, piercing, and slashing from nonmagical attacks not made with silvered weapons","cold, fire, poison"
Chort Devil,"bludgeoning, piercing, and slashing from nonmagical attacks not made with silvered weapons","cold, fire, poison"
Chroma Lizard,radiant,
Chronalmental,,"poison; bludgeoning, piercing, and slashing from nonmagical attacks"
Chronalmental,False,"poison; bludgeoning, piercing, and slashing from nonmagical attacks"
Chronomatic Enhancer,"bludgeoning, piercing, and slashing from nonmagical attacks not made with adamantine weapons","poison, psychic"
Chuhaister,,poison
Chupacabra,,
Chuul,,poison
Chuul,,poison
Chuul,Aberrant Resilience,"poison,poisoned"
Cikavak,"acid, fire, poison",
Cikavak,"acid, fire, poison",False
Cipactli,lightning,"cold, poison"
Citrullus,False,acid
City Watch Captain,,
City Watch Captain,False,False
Clacking Skeleton,,poison
Clay Golem,,"acid, poison, psychic; bludgeoning, piercing, and slashing from nonmagical attacks not made with adamantine weapons"
Clay Guardian,,"acid, poison, psychic; damage from nonmagical, non-adamantine weapons"
Clay Golem,,"acid,Golem Resilience"
Climbing Vine,,psychic
Cloaker,,
Cloaker,bludgeoning,
Cloaker,Aberrant Resilience,
Clockwork Abomination,"acid, cold, fire; bludgeoning, piercing, and slashing from nonmagical attacks",poison
Clockwork Archon,,"poison, psychic"
Clockwork Armadillo,,"poison, psychic"
Clockwork Assassin,,"lightning, poison"
Clockwork Beetle,,"poison, psychic"
Clockwork Beetle Swarm,"bludgeoning, piercing, and slashing","fire, poison, psychic"
Clockwork Conductor,,"lightning, poison, psychic, thunder"
Clockwork Hound,,"poison, psychic"
Clockwork Huntsman,,"poison, psychic"
Clockwork Leech,,"poison, psychic"
Clockwork Mantis,,"poison, psychic; bludgeoning, piercing, and slashing from nonmagical attacks not made with adamantine weapons"
Clockwork Myrmidon,,"poison, psychic"
Clockwork Pugilist,,"poison, psychic"
Clockwork Scorpion,fire; nonmagic B/P/S attacks not made w/adamantine weapons,"poison, psychic"
Clockwork Sentinel,,"poison, psychic"
Clockwork Servant,,"poison, psychic"
Clockwork Soldier,,"poison, psychic"
Clockwork Tactician,nonmagic B/P/S attacks,"poison, psychic"
Clockwork Tiger,,"poison, psychic"
Clockwork Watchman,,"poison, psychic"
Clockwork Abomination,"acid, cold, fire; bludgeoning, piercing, and slashing from nonmagical attacks",poison
Clockwork Beetle,False,"poison, psychic"
Clockwork Beetle Swarm,"bludgeoning, piercing, slashing","poison, psychic"
Clockwork Hound,False,"poison, psychic"
Clockwork Huntsman,False,"poison, psychic"
Clockwork Myrmidon,False,"poison, psychic"
Clockwork Watchman,False,"poison, psychic"
Clockwork Weaving Spider,False,"poison, psychic"
Cloud Giant,,
Cloud Giant,"lightning, thunder",
Cloud Giant Noble,"lightning, thunder",
Cloud Giant,"cold,Giant Attributes",
Cloudhoof Assassin,,
Clurichaun,,
Clurichaun,False,False
Coastline Reaper,"cold, poison",
Cobbleswarm,"bludgeoning, piercing, slashing",
